Week,Fecha Act,SumaDeBEGINNER NAV,SumaDeCLOSE TRADE,SumaDeNET LIQUID VALUE,SumaDeLIQUIDACION,SumaDeCASH NAV,SumaDeOPEN CASH FLOW,SumaDeFREE CASH,SumaDeTRADING,Fondo,CloseTrade_BRUTO
Week Abr 14 to 18,2025-04-16,8858878.0,2240601.0,10246416.0,0.0,10543622.0,297206.0,5973986.0,4272430.0,ESP,
Week Abr 21 to 25,2025-04-25,8865878.0,2240601.0,10251916.0,0.0,10549122.0,297206.0,5979486.0,4272430.0,ESP,
Week Abr 28 to 2,2025-05-02,8934678.0,2240601.0,10317916.0,0.0,10615122.0,297206.0,6045486.0,4272430.0,ESP,
Week May 5 to 9,2025-05-07,9045678.0,2240601.0,10371916.0,0.0,10669122.0,297206.0,6099486.0,4272430.0,ESP,
Week May 12 to 16,2025-05-15,9238678.0,2240601.0,10564916.0,0.0,10862122.0,297206.0,6292486.0,4272430.0,ESP,
Week May 19 to 23,2025-05-23,9381178.0,2240601.0,10707416.0,0.0,11166539.0,459123.0,3369403.0,7338015.0,ESP,
Week May 26 to 30,2025-05-30,9444114.0,2240601.0,10754352.0,0.0,11213475.0,459123.0,3416339.0,7338015.0,ESP,
Week Jun 2 to 6,2025-06-06,9562114.0,2240601.0,10870352.0,0.0,11329475.0,459123.0,3532339.0,7338015.0,ESP,
Week Jun 9 to 13,2025-06-11,9661778.0,2240601.0,10970016.0,0.0,11429139.0,459123.0,3632003.0,7338015.0,ESP,
Week Jun 16 to 20,2025-06-19,9661778.0,2240601.0,10939236.0,0.0,11398359.0,459123.0,3601223.0,7338015.0,ESP,
Week Jun 23 to 27,2025-06-25,9835881.0,2240601.0,11092339.0,0.0,11551462.0,459123.0,3754326.0,7338015.0,ESP,
Week Jun 30 to 4,2025-07-04,9904931.0,2369844.0,11287332.0,0.0,12140325.0,852993.0,3476677.0,7810656.0,ESP,
Week Jul 7 to 11,2025-07-10,10003477.0,2369844.0,11385878.0,0.0,12238871.0,852993.0,3575223.0,7810656.0,ESP,
Week Jul 14 to 18,2025-07-17,10061495.0,2369844.0,11383159.0,0.0,12236152.0,852993.0,3572504.0,7810656.0,ESP,
Week Jul 21 to 25,2025-07-24,10089995.0,2369844.0,11380793.0,0.0,12233786.0,852993.0,3570138.0,7810656.0,ESP,
Week Jul 28 to 1,2025-07-31,10089995.0,2369844.0,11380793.0,0.0,12233786.0,852993.0,3570138.0,7810656.0,ESP,
Week Aug 4 to 8,2025-08-08,10305798.0,2369844.0,11595096.0,0.0,12448089.0,852993.0,3784441.0,7810656.0,ESP,
Week Aug 11 to 15,2025-08-17,10551871.0,2369844.0,11831169.0,0.0,12684162.0,852993.0,4020514.0,7810656.0,ESP,
Week Aug 18 to 22,2025-08-22,10554871.0,2369844.0,11801169.0,0.0,12654162.0,852993.0,3990514.0,7810656.0,ESP,
